measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,West Virginia,Both,All ages,Alcohol use disorders,Number,1992,51.09091678454085,55.052799512924814,46.9834212645334
Deaths,Wyoming,Both,All ages,Alcohol use disorders,Number,1991,19.497179038836574,21.320470308402243,17.834482478064164
Deaths,South Dakota,Both,All ages,Liver cancer due to alcohol use,Number,1993,4.9885174977667495,5.705719330497808,4.282926320977339
Deaths,Arizona,Both,All ages,Alcoholic cardiomyopathy,Number,1991,85.02547852564021,100.8168687430886,63.404827257119116
Deaths,Missouri,Both,All ages,Alcohol use disorders,Number,1993,142.97187006002767,151.62597676087694,133.86513893190033
Deaths,Kentucky,Both,All ages,Liver cancer due to alcohol use,Number,1991,25.249229563337693,28.741011617380174,21.66145816901681
Deaths,Maine,Both,All ages,Liver cancer due to alcohol use,Number,1991,9.334908648854698,10.763220047942166,7.9826150025577345
Deaths,Maryland,Both,All ages,Liver cancer due to alcohol use,Number,1991,37.733906588015955,42.84549040175626,32.75145470867273
Deaths,Alabama,Both,All ages,Alcohol use disorders,Number,1991,108.33817720722402,116.17804621045077,100.89839302783054
Deaths,Kansas,Both,All ages,Alcoholic cardiomyopathy,Number,1992,57.851979668847704,68.34581238179243,39.74651075495973
Deaths,Alaska,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,16.236941149710702,18.607422683787103,14.222634682991917
Deaths,Virginia,Both,All ages,Alcohol use disorders,Number,1992,173.86854466015552,185.0937024372691,162.5824928323106
Deaths,Iowa,Both,All ages,Alcoholic cardiomyopathy,Number,1992,60.5578892116848,72.44696180064788,44.10779844526529
Deaths,California,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,1324.9520603779135,1519.705037074801,1149.033973593929
Deaths,New York,Both,All ages,Liver cancer due to alcohol use,Number,1992,170.60289992526168,191.88307475674452,149.27774217526846
Deaths,New Jersey,Both,All ages,Liver cancer due to alcohol use,Number,1992,75.78887326301302,84.88305876261424,65.9240649808694
Deaths,North Dakota,Both,All ages,Alcohol use disorders,Number,1991,18.34033369911541,19.978821063641398,16.759396965445465
Deaths,California,Both,All ages,Alcohol use disorders,Number,1991,792.2552951083163,833.6583938449174,752.4413937165028
Deaths,Mississippi,Both,All ages,Alcoholic cardiomyopathy,Number,1990,79.13462539090018,96.39210190162304,55.72201922154331
Deaths,Pennsylvania,Both,All ages,Alcohol use disorders,Number,1990,205.402740669816,216.79883375031923,192.4341520511374
Deaths,Maryland,Both,All ages,Alcohol use disorders,Number,1991,114.6106146302366,122.51114438047708,106.74323764410317
